[2025-08-24 16:03:30.593] LINEARIZABILITY_TEST_SUITE_START: Starting linearizability and write durability testing
[2025-08-24 16:03:30.594] CONFIG: Concurrent clients: 10, Operations per client: 100, Duration: 10m0s
[2025-08-24 16:04:00.749] CONNECTIVITY: Initial connectivity and consistency verified
[2025-08-24 16:04:00.751] STARTING_TEST: Linearizability
[2025-08-24 16:04:00.752] LINEARIZABILITY_TEST_START: Testing concurrent sequences with final value verification
[2025-08-24 16:04:00.758] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-1 (duration: 5.333ms)
[2025-08-24 16:04:00.760] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-1 (duration: 6.995584ms)
[2025-08-24 16:04:00.760] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-1 (duration: 6.932125ms)
[2025-08-24 16:04:00.760] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-1 (duration: 7.006709ms)
[2025-08-24 16:04:00.760] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-1 (duration: 7.013625ms)
[2025-08-24 16:04:00.760] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-1 (duration: 7.115833ms)
[2025-08-24 16:04:00.760] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-1 (duration: 7.337ms)
[2025-08-24 16:04:00.760] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-1 (duration: 7.304708ms)
[2025-08-24 16:04:00.760] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-1 (duration: 7.335083ms)
[2025-08-24 16:04:00.760] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-1 (duration: 7.250375ms)
[2025-08-24 16:04:00.772] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-2 (duration: 1.780625ms)
[2025-08-24 16:04:00.777] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-2 (duration: 4.694125ms)
[2025-08-24 16:04:00.778] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-2 (duration: 6.140917ms)
[2025-08-24 16:04:00.778] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-2 (duration: 6.179875ms)
[2025-08-24 16:04:00.778] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-2 (duration: 6.297917ms)
